file,nome,tipo,comune,comune_runts,comune_fonte,comune_matchato,match_comune,codice_comune,codice_provincia,provincia,sigla_provincia,codice_regione,regione
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Comune di Chiavari,Comuni,Chiavari,,comune,Chiavari,exact,010015,210,Genova,GE,07,Liguria
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Azienda Sanitaria Locale n. 4 “Sistema Sanitario Regione Liguria”,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Telefono Donna Centro AntiViolenza CIF APS,CAV/Centri Antiviolenza,,CHIAVARI,comune_runts,Chiavari,exact,010015,210,Genova,GE,07,Liguria
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Opera Diocesana Madonna dei Bambini Villaggio del Ragazzo,Case Rifugio,,CHIAVARI,comune_runts,Chiavari,exact,010015,210,Genova,GE,07,Liguria
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Distretti Sociosanitari n. 14,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Distretti Sociosanitari n. 15,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Distretti Sociosanitari n. 16,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Regione Liguria,Regioni/Province Autonome,,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Pronto Soccorso del presidio ospedaliero di Lavagna,"Ospedale (Pronto soccorso, ecc.)",,,nome,Lavagna,exact,010028,210,Genova,GE,07,Liguria
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,U.O. di Ostetricia e Ginecologia,"Ospedale (Pronto soccorso, ecc.)",,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Dipartimento di Salute Mentale e delle Dipendenze dell’ASL n. 4 “Sistema Sanitario Regione Liguria”,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Struttura Semplice Dipartimentale Consultorio Familiare dell’ASL n. 4 “Sistema Sanitario Regione Liguria”,ASL (consultori familiari e altri servizi territoriali),,,none,,none,,,,,,
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,Forze dell’Ordine,Carabinieri/Polizia/altre forze dell'ordine,,,none,,none,,,,,,
