file,nome,tipo,comune,comune_runts,comune_fonte,comune_matchato,match_comune,codice_comune,codice_provincia,provincia,sigla_provincia,codice_regione,regione
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Città metropolitana di Bologna,Province/Città metropolitane,Bologna,,comune,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di Bologna,Comuni,Bologna,,comune,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di Imola,Comuni,Imola,,comune,Imola,exact,037032,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di San Lazzaro di Savena,Comuni,San Lazzaro di Savena,,comune,San Lazzaro di Savena,exact,037054,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,"Unione dei Comuni Valli del Reno, Lavino e Samoggia",Unione dei Comuni,,,not_applicable_sovracomunale,,not_applicable_sovracomunale,,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Unione Reno Galliera,Unione dei Comuni,,,not_applicable_sovracomunale,,not_applicable_sovracomunale,,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Unione Terre d’Acqua,Unione dei Comuni,,,not_applicable_sovracomunale,,not_applicable_sovracomunale,,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Unione dei Comuni dell’Appennino bolognese,Unione dei Comuni,,,not_applicable_sovracomunale,,not_applicable_sovracomunale,,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Nuovo Circondario Imolese,Unione dei Comuni,,,not_applicable_sovracomunale,,not_applicable_sovracomunale,,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,CASA delle donne per non subire violenza,CAV/Centri Antiviolenza,,BOLOGNA,comune_runts,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Trama di Terre,CAV/Centri Antiviolenza,,IMOLA,comune_runts,Imola,exact,037032,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,MondoDonna,CAV/Centri Antiviolenza,,BOLOGNA,comune_runts,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,UDI,CAV/Centri Antiviolenza,,BOLOGNA,comune_runts,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,SOS Donna,CAV/Centri Antiviolenza,,FAENZA,comune_runts,Faenza,exact,039010,039,Ravenna,RA,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,PerLeDonne,CAV/Centri Antiviolenza,,IMOLA,comune_runts,Imola,exact,037032,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Regione Emilia-Romagna,Regioni/Province Autonome,,,none,,none,,,,,,
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM),"Ambiti della programmazione sociale e socio-sanitari (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Bologna,,comune,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Consorzio Servizi Sociali di Imola,Servizi sociali comunali,Imola,,comune,Imola,exact,037032,237,Bologna,BO,08,Emilia-Romagna
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,ASP Circondario Imolese,Servizi sociali comunali,,,none,,none,,,,,,
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,Comune di Bologna,Comuni,Bologna,,comune,Bologna,exact,037006,237,Bologna,BO,08,Emilia-Romagna
