file,nome,tipo,comune,provincia,sigla_provincia,regione,codice_comune,codice_provincia,codice_regione,livello_territoriale,lat,lon,ruolo,governance_detail,ente_capofila,is_firmatario,is_proponente,is_attore,is_gestione,is_monitoraggio,is_coordinamento,is_governance,is_governance_generica,is_ente_capofila,nome_key,tipo_key,comune_key,provincia_key,regione_key,ruolo_key,livello_key
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Comune di Bra,Comuni,Bra,Cuneo,CN,Piemonte,004029,004,01,comune,44.698185,7.854681,"firmatario, proponente, attore, gestione, ente_capofila",gestione,sì,True,True,True,True,False,False,True,False,True,comune di bra,comuni,bra,cuneo,piemonte,"firmatario, proponente, attore, gestione, ente_capofila",comune
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Comune di Alba,Comuni,Alba,Cuneo,CN,Piemonte,004003,004,01,comune,44.701064,8.035865,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,comune di alba,comuni,alba,cuneo,piemonte,"firmatario, attore",comune
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Consorzio Socio Assistenziale Alba Langhe Roero,CAV/Centri Antiviolenza,Alba,Cuneo,CN,Piemonte,004003,004,01,comune,44.701064,8.035865,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,consorzio socio assistenziale alba langhe roero,cav/centri antiviolenza,alba,cuneo,piemonte,"firmatario, attore",comune
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,ASL CN2,ASL (consultori familiari e altri servizi territoriali),Alba,Cuneo,CN,Piemonte,004003,004,01,comune,44.701064,8.035865,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,asl cn2,asl (consultori familiari e altri servizi territoriali),alba,cuneo,piemonte,"firmatario, attore",comune
01_2406_rta_01_240904110730_4166---protocollocontuttelefirme(1).txt,Associazione MAI+SOLE,ORGANIZZAZIONI DI VOLONTARIATO,Savigliano,Cuneo,CN,Piemonte,004215,004,01,comune,44.647962,7.657452,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,associazione mai+sole,organizzazioni di volontariato,savigliano,cuneo,piemonte,"firmatario, attore",comune
01_2406_rta_01_240904120005_4166---protocollo.txt,Amministrazione Provinciale di Biella,Province/Città metropolitane,Biella,Biella,BI,Piemonte,096004,096,01,provincia,45.571168,8.100825,"firmatario, proponente, attore",,no,True,True,True,False,False,False,False,False,False,amministrazione provinciale di biella,province/città metropolitane,biella,biella,piemonte,"firmatario, proponente, attore",provincia
01_2406_rta_01_240904120005_4166---protocollo.txt,Azienda Sanitaria Locale di Biella,ASL (consultori familiari e altri servizi territoriali),Biella,Biella,BI,Piemonte,096004,096,01,comune,45.566565,8.053801,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,azienda sanitaria locale di biella,asl (consultori familiari e altri servizi territoriali),biella,biella,piemonte,"firmatario, attore",comune
01_2406_rta_01_240904120005_4166---protocollo.txt,Presidio Ospedaliero di Biella,"Ospedale (Pronto soccorso, ecc.)",Biella,Biella,BI,Piemonte,096004,096,01,comune,45.566565,8.053801,"attore, gestione",gestione,no,False,False,True,True,False,False,True,False,False,presidio ospedaliero di biella,"ospedale (pronto soccorso, ecc.)",biella,biella,piemonte,"attore, gestione",comune
01_2406_rta_01_240904120005_4166---protocollo.txt,Consultorio Familiare di Biella,ASL (consultori familiari e altri servizi territoriali),Biella,Biella,BI,Piemonte,096004,096,01,comune,45.566565,8.053801,attore,,no,False,False,True,False,False,False,False,False,False,consultorio familiare di biella,asl (consultori familiari e altri servizi territoriali),biella,biella,piemonte,attore,comune
01_2406_rta_01_240904120005_4166---protocollo.txt,S.C. Neuropsichiatria Infantile,ASL (consultori familiari e altri servizi territoriali),Biella,Biella,BI,Piemonte,096004,096,01,comune,45.566565,8.053801,attore,,no,False,False,True,False,False,False,False,False,False,s.c. neuropsichiatria infantile,asl (consultori familiari e altri servizi territoriali),biella,biella,piemonte,attore,comune
01_2406_rta_01_240904120005_4166---protocollo.txt,Consigliera Provinciale di Parità di Biella,Organismi di parità,Biella,Biella,BI,Piemonte,096004,096,01,provincia,45.571168,8.100825,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,consigliera provinciale di parità di biella,organismi di parità,biella,biella,piemonte,"firmatario, attore",provincia
01_2406_rta_01_240904120005_4166---protocollo.txt,Procura della Repubblica presso il Tribunale Ordinario di Biella,Procura Ordinaria/Tribunale/Corte d'appello,Biella,Biella,BI,Piemonte,096004,096,01,comune,45.566565,8.053801,"firmatario, attore",,no,True,False,True,False,False,False,False,False,False,procura della repubblica presso il tribunale ordinario di biella,procura ordinaria/tribunale/corte d'appello,biella,biella,piemonte,"firmatario, attore",comune
