record_id,file,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,comune_finale,provincia_finale,regione_finale,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,n_record_aggregati,files,ruoli_documentali_aggregati
029_0021,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Autorità giudiziaria,Autorita giudiziaria,AUTORITA GIUDIZIARIA,Altro,Altro,Altro,,,Toscana,nome,generico,,0,0,0,,Soggetto destinatario e coordinatore delle attività,,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
029_0031,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Comunità di tipo familiare,Comunita di tipo familiare,COMUNITA DI TIPO FAMILIARE,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,Affido minori stranieri non accompagnati,,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
020_0041,09_APUANE_2015 Protocollo Prefettura.txt,Conferenza unificata Stato-Regioni,Conferenza unificata Stato-Regioni,CONFERENZA UNIFICATA STATO-REGIONI,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,,,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0034,09_APUANE_2015 Protocollo Prefettura.txt,Consiglio d'Europa,Consiglio d'Europa,CONSIGLIO D'EUROPA,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,,,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0035,09_APUANE_2015 Protocollo Prefettura.txt,Istat,Istat,ISTAT,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,Citato per indagini statistiche,,1,09_APUANE_2015 Protocollo Prefettura.txt,
022_0039,09_FIRENZE Linee-di-indirizzo2024.txt,OMS,OMS,OMS,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,Riferimento per le linee guida su interventi,,1,09_FIRENZE Linee-di-indirizzo2024.txt,
020_0033,09_APUANE_2015 Protocollo Prefettura.txt,Organizzazione Mondiale della Sanita,Organizzazione Mondiale della Sanita,ORGANIZZAZIONE MONDIALE DELLA SANITA,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,,,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0031,09_APUANE_2015 Protocollo Prefettura.txt,Organizzazione delle Nazioni Unite,Organizzazione delle Nazioni Unite,ORGANIZZAZIONE DELLE NAZIONI UNITE,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,,,1,09_APUANE_2015 Protocollo Prefettura.txt,
020_0040,09_APUANE_2015 Protocollo Prefettura.txt,Presidenza del Consiglio dei Ministri,Presidenza del Consiglio dei Ministri,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,,,1,09_APUANE_2015 Protocollo Prefettura.txt,
029_0014,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Referenti Aziendali,Referenti Aziendali,REFERENTI AZIENDALI,Altro,Altro,Altro,,,Toscana,nome,generico,,0,0,0,,Ruolo operativo nella Rete Codice Rosa,,1,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,
